"id","fdc_id","name","pct_weight","is_refuse","gram_weight","data_points","min_year_acquired"
"57035","330966","Handling loss","","N","6.7","1",""
"57036","330966","Skin and separable fat","","Y","16","1",""
"57037","330966","Bone and cartilage","","Y","51.5","1",""
"57038","330966","Edible portion","","N","87.6","1",""
"57039","330966","Total gram weight","","N","162","1",""
"57040","330966","Separable Lean","","N","87.6","1",""
"57041","330967","Edible portion","","N","84.6","1",""
"57042","330967","Handling loss","","N","8.2","1",""
"57043","330967","Skin and separable fat","","Y","16.3","1",""
"57044","330967","Bone and cartilage","","Y","58.3","1",""
"57045","330967","Total gram weight","","N","167","1",""
"57046","330967","Separable Lean","","N","84.6","1",""
"57047","330968","Edible portion","","N","74.1","1",""
"57048","330968","Handling loss","","N","4.7","1",""
"57049","330968","Skin and separable fat","","Y","9.2","1",""
"57050","330968","Bone and cartilage","","Y","46.7","1",""
"57051","330968","Total gram weight","","N","135","1",""
"57052","330968","Separable Lean","","N","74.1","1",""
"57053","330969","Edible portion","","N","63.2","1",""
"57054","330969","Handling loss","","N","3.7","1",""
"57055","330969","Skin and separable fat","","Y","7.9","1",""
"57056","330969","Bone and cartilage","","Y","30.6","1",""
"57057","330969","Total gram weight","","N","105","1",""
"57058","330969","Separable Lean","","N","63.2","1",""
"57059","330970","Handling loss","","N","3.7","1",""
"57060","330970","Skin and separable fat","","Y","12.2","1",""
"57061","330970","Bone and cartilage","","Y","47.6","1",""
"57062","330970","Edible portion","","N","79.4","1",""
"57063","330970","Total gram weight","","N","143","1",""
"57064","330970","Separable Lean","","N","79.4","1",""
"57065","330971","Handling loss","","N","3.6","1",""
"57066","330971","Skin and separable fat","","Y","9.2","1",""
"57067","330971","Bone and cartilage","","Y","34.9","1",""
"57068","330971","Edible portion","","N","67","1",""
"57069","330971","Total gram weight","","N","115","1",""
"57070","330971","Separable Lean","","N","67","1",""
"57071","330972","Edible portion","","N","82.7","1",""
"57072","330972","Handling loss","","N","4.2","1",""
"57073","330972","Skin and separable fat","","Y","12.9","1",""
"57074","330972","Bone and cartilage","","Y","49.1","1",""
"57075","330972","Total gram weight","","N","149","1",""
"57076","330972","Separable Lean","","N","82.7","1",""
"57077","330973","Handling loss","","N","6.8","1",""
"57078","330973","Skin and separable fat","","Y","16.3","1",""
"57079","330973","Bone and cartilage","","Y","59.8","1",""
"57080","330973","Edible portion","","N","77.5","1",""
"57081","330973","Total gram weight","","N","160","1",""
"57082","330973","Separable Lean","","N","77.5","1",""
"57083","330974","Handling loss","","N","3.2","1",""
"57084","330974","Skin and separable fat","","Y","10.8","1",""
"57085","330974","Bone and cartilage","","Y","33.7","1",""
"57086","330974","Edible portion","","N","63","1",""
"57087","330974","Total gram weight","","N","111","1",""
"57088","330974","Separable Lean","","N","63","1",""
"57089","330975","Handling loss","","N","3.3","1",""
"57090","330975","Skin and separable fat","","Y","8.4","1",""
"57091","330975","Bone and cartilage","","Y","35.6","1",""
"57092","330975","Edible portion","","N","60.4","1",""
"57093","330975","Total gram weight","","N","108","1",""
"57094","330975","Separable Lean","","N","60.4","1",""
