"fdc_id","NDB_number","footnote"
"321358","16158",""
"321359","1079",""
"321505","2047",""
"321611","11056",""
"321900","11090",""
"322228","1082",""
"322559","1085",""
"322892","1077",""
"323121","7022",""
"323294","12563"," Other phytosterols = 34.67 mg/100g"
"323444","1036",""
"323505","11233",""
"323604","1171",""
"323697","1172",""
"323793","1173",""
"324038","6164",""
"324157","7954",""
"324317","11296",""
"324653","11937",""
"324860","16098",""
"325036","1032",""
"325198","1042",""
"325287","9123",""
"325430","9236",""
"325524","12537",""
"325658","7089",""
"325871","18069",""
"325992","7919",""
"326135","1040",""
"326196","11236",""
"326458","11130",""
"326698","2046",""
"326905","9094"," Mission variety"
"327046","9148",""
"327198","9181",""
"327357","9191",""
"327501","9202",""
"327699","9316",""
"327923","11251",""
"328637","1009",""
"328841","1015",""
"329370","1029",""
"329490","1133",""
"329596","1126",""
"329716","1137",""
"329830","1227",""
"330137","1256",""
"330415","1285",""
"330458","4047",""
"330869","5666",""
"331897","5671",""
"331960","5746",""
"332282","6931",""
"332397","7028",""
"332597","9412",""
"333374","15033","May contain additives to retain moisture"
"333476","15066","May contain additives to retain moisture"
"334194","15121",""
"334247","19335",""
"334462","36622"," Rice was not included in analyses. Ingredients and amount of breading and sauce vary by restaurant."
"334536","36602",""
"334628","36412",""
"334720","36408",""
"334849","23385","Fatty acid analyses were done in more than one laboratory for each sample"
"334897","23377","Fatty acid analyses may have done in more than one laboratory for each sample"
"334898","23362","Fatty acid analyses may have done in more than one laboratory for each sample"
"334963","23359","Fatty acid analyses may have done in more than one laboratory for each sample"
"335061","13236","Fatty acid analyses may have done in more than one laboratory for each sample"
"335109","13468","Fatty acid analyses may have done in more than one laboratory for each sample"
"335240","18075",""
"321360","100147",""
"332791","9533",""
"332864","100173",""
"333008","100192",""
"333281","100193",""
"335245","",""
"335306","",""
"335419","",""
"335422","",""
"335433","",""
"335442","",""
"335695","",""
"335774","",""
"335782","",""
"335785","",""
"335912","",""
"335927","",""
"336067","",""
"335425","",""
"335428","",""
"335777","",""
"335930","",""
