"fdc_id","brand_description","expiration_date","label_weight","location","acquisition_date","sales_type","sample_lot_nbr","sell_by_date","store_city","store_name","store_state","upc_code"
"321613","","","","","2009-11-16","Retail store","","","ANDERSON","Pay Less Super Market","IN",""
"321614","","","","","2009-11-16","Retail store","","","COLLEGE POINT","Waldbaum","NY",""
"321615","","","","","2009-11-16","Retail store","","","ANDERSON","Pay Less Super Market","IN",""
"321622","OCEAN MIST","","","","2009-12-01","Retail store","PLU 4060","","CARRBORO","Food Lion","NC",""
"321623","OCEAN MIST","","","","2009-12-01","Retail store","PLU 4060","","CARRBORO","Food Lion","NC",""
"321624","","","","","2009-11-29","Retail store","","","PLEASANTON","Lucky Supermarket","CA",""
"321625","OCEAN MIST","","","","2009-12-01","Retail store","PLU 4060","","CARRBORO","Food Lion","NC",""
"321632","","","","","2009-12-02","Retail store","","","TRUSSVILLE","Food World","AL",""
"321633","","","","","2009-11-29","Retail store","","","PARADISE","Safeway","CA",""
"321634","","","","","2009-12-02","Retail store","","","TRUSSVILLE","Food World","AL",""
"321635","","","","","2009-11-29","Retail store","","","PARADISE","Safeway","CA",""
"321642","","","","","2009-11-17","Retail store","","","WATERBURY","Shop Rite","CT",""
"321643","","","","","2009-11-17","Retail store","","","WATERBURY","Shop Rite","CT",""
"321644","","","","","2009-11-18","Retail store","","","DENVER","Safeway","CO",""
"321645","","","","","2009-11-17","Retail store","","","WATERBURY","Shop Rite","CT",""
"327701","","","","","2009-11-16","Retail store","","","BELTON","Hy-Vee","MO",""
"327702","","","","","2009-11-17","Retail store","","","LAKE WORTH","Publix Super Market","FL","3338365101"
"327707","","","","","2009-12-02","Retail store","","","SAPULPA","WalMart SuperCenter","OK",""
"327708","","","","","2009-11-30","Retail store","","","PORT HURON","Kroger Store","MI",""
"327709","","","","","2009-12-02","Retail store","","","SAPULPA","WalMart SuperCenter","OK",""
"327714","","","","","2009-12-01","Retail store","","","BESSEMER","WalMart Supercenter","AL",""
"327715","","","","","2009-12-01","Retail store","","","BESSEMER","WalMart Supercenter","AL",""
"327716","","","","","2009-11-28","Retail store","","","PARADISE","Safeway","CA",""
"327721","","","","","2009-11-17","Retail store","","","ANDERSON","Pay Less Super Market","IN",""
"327722","","","","","2009-11-17","Retail store","","","ANDERSON","Pay Less Super Market","IN",""
"327723","","","","","2009-11-16","Retail store","","","COLLEGE POINT","Waldbaum","NY",""
"327724","","","","","2009-11-17","Retail store","","","ANDERSON","Pay Less Super Market","IN",""
"327729","","","","","2009-12-01","Retail store","","","CARRBORO","Food Lion","NC",""
"327730","","","","","2009-11-29","Retail store","","","PLEASANTON","Lucky Supermarket","CA",""
"327731","","","","","2009-12-01","Retail store","","","CARRBORO","Food Lion","NC",""
"327736","","","","","2009-11-17","Retail store","","","WATERBURY","Shop Rite","CT",""
"327737","","","","","2009-11-17","Retail store","","","WATERBURY","Shop Rite","CT",""
"327738","","","","","2009-11-18","Retail store","","","DENVER","Safeway","CO",""
"329718","DON FRANCISCO COTIJA","","","","2009-07-06","Retail store","","","Milford","Azteca Mexican Market","CT",""
"329719","CACIQUE COTIJA","2010-05-12","","","2009-07-05","Retail store","","","SANTA FE SPRINGS","El Super","CA","74562001102"
"329720","CACIQUE COTIJA","2010-05-12","","","2009-07-05","Retail store","","","SANTA FE SPRINGS","El Super","CA","74562001102"
"329721","DON FRANCISCO COTIJA","","","","2009-07-06","Retail store","","","Milford","Azteca Mexican Market","CT",""
"329735","LA FE COTIJA","2010-02-20","","","2009-07-05","Retail store","","","Olathe","Winn Dixie","KS","23545401095"
"329736","CACIQUE COTIJA","2010-05-06","","","2009-07-06","Retail store","","","CHINO","Superior","CA","74562001102"
"329737","CACIQUE COTIJA","2010-05-06","","","2009-07-06","Retail store","","","CHINO","Superior","CA","74562001102"
"329738","LA FE COTIJA","2010-02-20","","","2009-07-05","Retail store","","","Olathe","Winn Dixie","KS","23545401095"
"329752","EL MEXICANO","2009-10-18","","","2009-07-06","Retail store","AJEK021","","Lake Worth","Liborio Markets","FL","42743123103"
"329753","QUESOS LA RICURA LIMITED TM","","","","2009-07-08","Retail store","2","2009-08-15","Raleigh","Fiesta","NC","769087000128"
"329754","EL MEXICANO","2009-10-18","","","2009-07-06","Retail store","AJEK021","","Lake Worth","Liborio Markets","FL","42743123103"
