"fdc_id","fdc_id_of_sample_food"
"321616","321612"
"321617","321612"
"321619","321618"
"321620","321618"
"321626","321621"
"321627","321621"
"321629","321628"
"321630","321628"
"321636","321631"
"321637","321631"
"321639","321638"
"321640","321638"
"321646","321641"
"321647","321641"
"321649","321648"
"321650","321648"
"327703","327700"
"327704","327700"
"327705","327700"
"327710","327706"
"327711","327706"
"327712","327706"
"327717","327713"
"327718","327713"
"327719","327713"
"327725","327720"
"327726","327720"
"327727","327720"
"327732","327728"
"327733","327728"
"327734","327728"
"327739","327735"
"327740","327735"
"327741","327735"
"329722","329717"
"329723","329717"
"329724","329717"
"329725","329717"
"329726","329717"
"329727","329717"
"329728","329717"
"329729","329717"
"329730","329717"
"329731","329717"
"329732","329717"
"329733","329717"
"329739","329734"
"329740","329734"
"329741","329734"
"329742","329734"
"329743","329734"
"329744","329734"
"329745","329734"
"329746","329734"
"329747","329734"
"329748","329734"
"329749","329734"
"329750","329734"
"329756","329751"
"329757","329751"
"329758","329751"
"329759","329751"
"329760","329751"
"329761","329751"
"329762","329751"
"329763","329751"
"329764","329751"
"329765","329751"
"329766","329751"
"329767","329751"
"329771","329768"
"329772","329768"
"329773","329768"
"329774","329768"
"329775","329768"
"329776","329768"
"329777","329768"
"329778","329768"
"329779","329768"
"329780","329768"
"329781","329768"
"329782","329768"
"329788","329783"
"329789","329783"
"329790","329783"
"329791","329783"
"329792","329783"
"329793","329783"
"329794","329783"
"329795","329783"
"329796","329783"
"329797","329783"
"329798","329783"
"329799","329783"
"329800","329783"
"329801","329783"
"329802","329783"
"329803","329783"
"329804","329783"
"329805","329783"
"329811","329806"
"329812","329806"
"329813","329806"
"329814","329806"
"329815","329806"
"329816","329806"
"329817","329806"
"329818","329806"
"329819","329806"
"329820","329806"
"329821","329806"
"329822","329806"
"329823","329806"
"329824","329806"
"329825","329806"
"329826","329806"
"329827","329806"
"329828","329806"
"329829","329806"
"330464","330459"
"330465","330459"
"330477","330466"
"330478","330466"
"330479","330466"
"330480","330466"
"330481","330466"
"330482","330466"
"330483","330466"
"330484","330466"
"330485","330466"
"330487","330486"
"330488","330486"
"330489","330486"
"330490","330486"
"330491","330486"
"330492","330486"
"330493","330486"
"330494","330486"
"330495","330486"
"330498","330496"
"330499","330496"
"330501","330500"
"330502","330500"
"330503","330500"
"330504","330500"
"330505","330500"
"330506","330500"
"330507","330500"
"330508","330500"
"330510","330509"
"330511","330509"
"330512","330509"
"330513","330509"
"330514","330509"
"330515","330509"
"330516","330509"
"330517","330509"
"330518","330509"
"330525","330519"
"330526","330519"
"330528","330527"
"330529","330527"
"330530","330527"
"330531","330527"
"330532","330527"
"330533","330527"
"330534","330527"
"330535","330527"
"330537","330536"
"330538","330536"
"330539","330536"
"330540","330536"
"330541","330536"
"330542","330536"
"330543","330536"
"330544","330536"
"330545","330536"
"330557","330546"
"330558","330546"
"330560","330559"
"330561","330559"
"330562","330559"
"330563","330559"
"330564","330559"
"330565","330559"
"330566","330559"
"330567","330559"
"330568","330559"
"330571","330569"
"330572","330569"
"330574","330573"
"330575","330573"
"330576","330573"
"330577","330573"
"330578","330573"
"330579","330573"
"330580","330573"
"330581","330573"
"330582","330573"
"330588","330583"
"330589","330583"
"330591","330590"
"330592","330590"
"330593","330590"
"330594","330590"
"330595","330590"
"330596","330590"
"330597","330590"
"330598","330590"
"330599","330590"
"330608","330600"
"330609","330600"
"330611","330610"
"330612","330610"
"330613","330610"
"330614","330610"
"330615","330610"
"330616","330610"
"330617","330610"
"330618","330610"
"330619","330610"
