"food_nutrient_id","adjusted_amount","lab_method_id","nutrient_name"
"2220550","","1116","Water"
"2220551","","1056","Vitamin C, total ascorbic acid"
"2220552","","1116","Water"
"2220553","","1056","Vitamin C, total ascorbic acid"
"2220554","","1116","Water"
"2220555","","1056","Vitamin C, total ascorbic acid"
"2220556","","1116","Water"
"2220557","","1056","Vitamin C, total ascorbic acid"
"2220558","","1116","Water"
"2220559","","1056","Vitamin C, total ascorbic acid"
"2220560","","1116","Water"
"2220561","","1056","Vitamin C, total ascorbic acid"
"2220562","","1116","Water"
"2220563","","1056","Vitamin C, total ascorbic acid"
"2220564","","1116","Water"
"2220565","","1056","Vitamin C, total ascorbic acid"
"2244438","","1116","Water"
"2244439","","1056","Vitamin C, total ascorbic acid"
"2244440","","1181","10-Formyl folic acid (10HCOFA)"
"2244441","","1181","5-Formyltetrahydrofolic acid (5-HCOH4"
"2244442","","1181","5-methyl tetrahydrofolate (5-MTHF)"
"2244443","","","Folate, food"
"2244444","","","Folate, total"
"2244445","","1116","Water"
"2244446","","1056","Vitamin C, total ascorbic acid"
"2244447","","1181","10-Formyl folic acid (10HCOFA)"
"2244448","","1181","5-Formyltetrahydrofolic acid (5-HCOH4"
"2244449","","1181","5-methyl tetrahydrofolate (5-MTHF)"
"2244450","","","Folate, food"
"2244451","","","Folate, total"
"2244452","","1116","Water"
"2244453","","1056","Vitamin C, total ascorbic acid"
"2244454","","1181","10-Formyl folic acid (10HCOFA)"
"2244455","","1181","5-Formyltetrahydrofolic acid (5-HCOH4"
"2244456","","1181","5-methyl tetrahydrofolate (5-MTHF)"
"2244457","","","Folate, food"
"2244458","","","Folate, total"
"2244459","","1116","Water"
"2244460","","1056","Vitamin C, total ascorbic acid"
"2244461","","1181","10-Formyl folic acid (10HCOFA)"
"2244462","","1181","5-Formyltetrahydrofolic acid (5-HCOH4"
"2244463","","1181","5-methyl tetrahydrofolate (5-MTHF)"
"2244464","","","Folate, food"
"2244465","","","Folate, total"
"2244466","","1116","Water"
"2244467","","1056","Vitamin C, total ascorbic acid"
"2244468","","1181","10-Formyl folic acid (10HCOFA)"
"2244469","","1181","5-Formyltetrahydrofolic acid (5-HCOH4"
"2244470","","1181","5-methyl tetrahydrofolate (5-MTHF)"
"2244471","","","Folate, food"
"2244472","","","Folate, total"
"2244473","","1116","Water"
"2244474","","1056","Vitamin C, total ascorbic acid"
"2244475","","1181","10-Formyl folic acid (10HCOFA)"
"2244476","","1181","5-Formyltetrahydrofolic acid (5-HCOH4"
"2244477","","1181","5-methyl tetrahydrofolate (5-MTHF)"
"2244478","","","Folate, food"
"2244479","","","Folate, total"
"2252291","","1009","Magnesium, Mg"
"2252292","","1009","Potassium, K"
"2252293","","1009","Zinc, Zn"
"2252294","","1009","Iron, Fe"
"2252295","","1009","Sodium, Na"
"2252296","","1009","Copper, Cu"
"2252297","","1009","Manganese, Mn"
"2252298","","1009","Phosphorus, P"
"2252299","","1009","Calcium, Ca"
"2252300","","1014","Niacin"
"2252301","","1011","Thiamin"
"2252302","","1016","Vitamin B-6"
"2252303","","1052","Tocotrienol, beta"
"2252304","","1052","Tocotrienol, gamma"
"2252305","","1052","Tocotrienol, alpha"
"2252306","","1052","Tocopherol, gamma"
"2252307","","1052","Vitamin E (alpha-tocopherol)"
"2252308","","1052","Tocopherol, beta"
"2252309","","1052","Tocopherol, delta"
"2252310","","1052","Tocotrienol, delta"
"2252311","","1041","Cholesterol"
"2252312","","1042","18:2 CLAs"
"2252313","","1042","18:4"
"2252314","","1042","20:2 n-6 c,c"
"2252315","","1042","22:0"
"2252316","","1042","20:3 n-6"
"2252317","","1042","22:1 t"
"2252318","","1042","22:1 c"
"2252319","","1042","20:3 n-3"
"2252320","","1042","20:4 undifferentiated"
"2252321","","1042","22:2"
"2252322","","1042","24:0"
"2252323","","1042","20:5 n-3 (EPA)"
"2252324","","1042","24:1 c"
"2252325","","1042","22:4"
"2252326","","1042","22:5 n-3 (DPA)"
"2252327","","1042","22:6 n-3 (DHA)"
"2252328","","1042","4:0"
"2252329","","1042","6:0"
"2252330","","1042","8:0"
"2252331","","1042","10:0"
"2252332","","1042","11:0"
"2252333","","1042","12:0"
"2252334","","1042","14:0"
"2252335","","1042","15:0"
"2252336","","1042","15:1"
"2252337","","1042","16:0"
"2252338","","1042","16:1 t"
"2252339","","1042","16:1 c"
"2252340","","1042","17:0"
"2252341","","1042","17:1"
"2252342","","1042","18:0"
"2252343","","1042","18:1 t"
"2252344","","1042","18:1 c"
"2252345","","1042","18:2 t not further defined"
"2252346","","1042","18:2 n-6 c,c"
"2252347","","1042","20:0"
"2252348","","1042","18:3 n-6 c,c,c"
"2252349","","1042","20:1"
"2252350","","1042","18:3 n-3 c,c,c (ALA)"
"2252351","","1037","Pantothenic acid"
"2252352","","1022","Ash"
"2252353","","1019","Total lipid (fat)"
"2252354","","1028","Water"
"2252355","","1018","Nitrogen"
"2252356","","1035","Riboflavin"
"2252357","","1039","Vitamin B-12"
"2252358","","1024","Lactose"
"2252359","","1024","Maltose"
"2252360","","1024","Sucrose"
"2252361","","1030","Galactose"
"2252362","","1024","Glucose (dextrose)"
"2252363","","1024","Fructose"
"2252364","","1009","Magnesium, Mg"
"2252365","","1009","Potassium, K"
"2252366","","1009","Iron, Fe"
"2252367","","1009","Sodium, Na"
"2252368","","1009","Zinc, Zn"
"2252369","","1009","Copper, Cu"
"2252370","","1009","Manganese, Mn"
"2252371","","1009","Phosphorus, P"
"2252372","","1009","Calcium, Ca"
"2252373","","1014","Niacin"
"2252374","","1011","Thiamin"
"2252375","","1016","Vitamin B-6"
"2252376","","1052","Tocopherol, beta"
"2252377","","1052","Tocopherol, gamma"
"2252378","","1052","Tocotrienol, beta"
"2252379","","1052","Tocotrienol, delta"
"2252380","","1052","Tocotrienol, alpha"
"2252381","","1052","Tocotrienol, gamma"
"2252382","","1052","Vitamin E (alpha-tocopherol)"
"2252383","","1052","Tocopherol, delta"
"2252384","","1041","Cholesterol"
"2252385","","1042","15:0"
"2252386","","1042","15:1"
"2252387","","1042","16:0"
"2252388","","1042","16:1 t"
"2252389","","1042","16:1 c"
"2252390","","1042","17:0"
"2252391","","1042","17:1"
"2252392","","1042","18:0"
"2252393","","1042","18:1 t"
"2252394","","1042","18:1 c"
"2252395","","1042","18:2 t not further defined"
"2252396","","1042","18:2 n-6 c,c"
"2252397","","1042","20:0"
"2252398","","1042","18:3 n-6 c,c,c"
"2252399","","1042","20:1"
"2252400","","1042","18:3 n-3 c,c,c (ALA)"
"2252401","","1042","18:2 CLAs"
"2252402","","1042","18:4"
"2252403","","1042","20:2 n-6 c,c"
"2252404","","1042","22:0"
"2252405","","1042","20:3 n-6"
"2252406","","1042","22:1 t"
"2252407","","1042","22:1 c"
"2252408","","1042","20:3 n-3"
"2252409","","1042","20:4 undifferentiated"
"2252410","","1042","22:2"
"2252411","","1042","24:0"
"2252412","","1042","20:5 n-3 (EPA)"
"2252413","","1042","24:1 c"
"2252414","","1042","22:4"
"2252415","","1042","22:5 n-3 (DPA)"
"2252416","","1042","22:6 n-3 (DHA)"
"2252417","","1042","4:0"
"2252418","","1042","6:0"
"2252419","","1042","8:0"
"2252420","","1042","10:0"
"2252421","","1042","11:0"
"2252422","","1042","12:0"
"2252423","","1042","14:0"
"2252424","","1037","Pantothenic acid"
"2252425","","1022","Ash"
"2252426","","1018","Nitrogen"
"2252427","","1019","Total lipid (fat)"
"2252428","","1028","Water"
"2252429","","1035","Riboflavin"
"2252430","","1039","Vitamin B-12"
"2252431","","1024","Lactose"
"2252432","","1024","Maltose"
"2252433","","1024","Sucrose"
"2252434","","1030","Galactose"
"2252435","","1024","Glucose (dextrose)"
"2252436","","1024","Fructose"
"2252437","","1009","Magnesium, Mg"
"2252438","","1009","Potassium, K"
"2252439","","1009","Iron, Fe"
"2252440","","1009","Sodium, Na"
"2252441","","1009","Zinc, Zn"
"2252442","","1009","Copper, Cu"
"2252443","","1009","Manganese, Mn"
"2252444","","1009","Phosphorus, P"
"2252445","","1009","Calcium, Ca"
"2252446","","1014","Niacin"
"2252447","","1016","Vitamin B-6"
"2252448","","1052","Tocotrienol, beta"
"2252449","","1052","Tocotrienol, gamma"
"2252450","","1052","Tocotrienol, alpha"
"2252451","","1052","Tocopherol, gamma"
"2252452","","1052","Vitamin E (alpha-tocopherol)"
"2252453","","1052","Tocopherol, beta"
"2252454","","1052","Tocopherol, delta"
"2252455","","1052","Tocotrienol, delta"
"2252456","","1041","Cholesterol"
"2252457","","1042","4:0"
"2252458","","1042","6:0"
"2252459","","1042","8:0"
"2252460","","1042","10:0"
"2252461","","1042","11:0"
"2252462","","1042","12:0"
"2252463","","1042","14:0"
"2252464","","1042","15:0"
"2252465","","1042","15:1"
"2252466","","1042","16:0"
"2252467","","1042","16:1 t"
"2252468","","1042","16:1 c"
"2252469","","1042","17:0"
"2252470","","1042","17:1"
"2252471","","1042","18:0"
"2252472","","1042","18:1 t"
"2252473","","1042","18:1 c"
"2252474","","1042","18:2 t not further defined"
"2252475","","1042","18:2 n-6 c,c"
"2252476","","1042","20:0"
"2252477","","1042","18:3 n-6 c,c,c"
"2252478","","1042","20:1"
"2252479","","1042","18:3 n-3 c,c,c (ALA)"
"2252480","","1042","18:2 CLAs"
"2252481","","1042","18:4"
"2252482","","1042","20:2 n-6 c,c"
"2252483","","1042","22:0"
"2252484","","1042","20:3 n-6"
"2252485","","1042","22:1 t"
"2252486","","1042","22:1 c"
"2252487","","1042","20:3 n-3"
"2252488","","1042","20:4 undifferentiated"
"2252489","","1042","22:2"
"2252490","","1042","24:0"
"2252491","","1042","20:5 n-3 (EPA)"
"2252492","","1042","24:1 c"
"2252493","","1042","22:4"
"2252494","","1042","22:5 n-3 (DPA)"
"2252495","","1042","22:6 n-3 (DHA)"
"2252496","","1037","Pantothenic acid"
"2252497","","1022","Ash"
"2252498","","1018","Nitrogen"
"2252499","","1019","Total lipid (fat)"
"2252500","","1028","Water"
"2252501","","1035","Riboflavin"
"2252502","","1039","Vitamin B-12"
"2252503","","1024","Lactose"
"2252504","","1024","Maltose"
"2252505","","1024","Sucrose"
"2252506","","1030","Galactose"
"2252507","","1024","Glucose (dextrose)"
"2252508","","1024","Fructose"
"2252509","","1011","Thiamin"
"2252510","","1009","Magnesium, Mg"
"2252511","","1009","Potassium, K"
"2252512","","1009","Iron, Fe"
"2252513","","1009","Sodium, Na"
"2252514","","1009","Zinc, Zn"
