"fdc_id","food_code","wweia_category_code","start_date","end_date"
"336068","11000000","9602","2013-01-01","2014-12-31"
"336069","11100000","1004","2013-01-01","2014-12-31"
"336070","11111000","1002","2013-01-01","2014-12-31"
"336071","11111100","1002","2013-01-01","2014-12-31"
"336072","11111150","1002","2013-01-01","2014-12-31"
"336073","11111160","1006","2013-01-01","2014-12-31"
"336074","11111170","1008","2013-01-01","2014-12-31"
"336075","11112110","1004","2013-01-01","2014-12-31"
"336076","11112120","1006","2013-01-01","2014-12-31"
"336077","11112130","1004","2013-01-01","2014-12-31"
"336078","11112210","1006","2013-01-01","2014-12-31"
"336079","11113000","1008","2013-01-01","2014-12-31"
"336080","11114300","1006","2013-01-01","2014-12-31"
"336081","11114320","1008","2013-01-01","2014-12-31"
"336082","11114330","1004","2013-01-01","2014-12-31"
"336083","11114350","1002","2013-01-01","2014-12-31"
"336084","11115000","1008","2013-01-01","2014-12-31"
"336085","11115100","1006","2013-01-01","2014-12-31"
"336086","11115200","1004","2013-01-01","2014-12-31"
"336087","11115300","1002","2013-01-01","2014-12-31"
"336088","11115400","1006","2013-01-01","2014-12-31"
"336089","11116000","1002","2013-01-01","2014-12-31"
"336090","11120000","1008","2013-01-01","2014-12-31"
"336091","11121100","1002","2013-01-01","2014-12-31"
"336092","11121210","1006","2013-01-01","2014-12-31"
"336093","11121300","1008","2013-01-01","2014-12-31"
"336094","11210050","1002","2013-01-01","2014-12-31"
"336095","11211050","1002","2013-01-01","2014-12-31"
"336096","11211400","1004","2013-01-01","2014-12-31"
"336097","11212050","1008","2013-01-01","2014-12-31"
"336098","11220000","1202","2013-01-01","2014-12-31"
"336099","11320000","1404","2013-01-01","2014-12-31"
"336100","11320100","1404","2013-01-01","2014-12-31"
"336101","11320200","1404","2013-01-01","2014-12-31"
"336102","11321000","1404","2013-01-01","2014-12-31"
"336103","11321100","1404","2013-01-01","2014-12-31"
"336104","11321200","1404","2013-01-01","2014-12-31"
"336105","11340000","1404","2013-01-01","2014-12-31"
"336106","11350000","1404","2013-01-01","2014-12-31"
"336107","11350010","1404","2013-01-01","2014-12-31"
"336108","11350020","1404","2013-01-01","2014-12-31"
"336109","11350030","1404","2013-01-01","2014-12-31"
"336110","11360000","1404","2013-01-01","2014-12-31"
"336111","11370000","1404","2013-01-01","2014-12-31"
"336112","11410000","1820","2013-01-01","2014-12-31"
"336113","11411010","1820","2013-01-01","2014-12-31"
"336114","11411100","1820","2013-01-01","2014-12-31"
"336115","11411200","1820","2013-01-01","2014-12-31"
"336116","11411300","1820","2013-01-01","2014-12-31"
"336117","11411400","1822","2013-01-01","2014-12-31"
"336118","11411410","1822","2013-01-01","2014-12-31"
"336119","11411420","1822","2013-01-01","2014-12-31"
"336120","11420000","1820","2013-01-01","2014-12-31"
"336121","11421000","1820","2013-01-01","2014-12-31"
"336122","11422000","1820","2013-01-01","2014-12-31"
"336123","11422100","1820","2013-01-01","2014-12-31"
"336124","11423000","1820","2013-01-01","2014-12-31"
"336125","11424000","1820","2013-01-01","2014-12-31"
"336126","11424500","1822","2013-01-01","2014-12-31"
"336127","11424510","1822","2013-01-01","2014-12-31"
"336128","11424520","1822","2013-01-01","2014-12-31"
"336129","11425000","1820","2013-01-01","2014-12-31"
"336130","11426000","1820","2013-01-01","2014-12-31"
"336131","11427000","1820","2013-01-01","2014-12-31"
"336132","11428000","1822","2013-01-01","2014-12-31"
"336133","11430000","1820","2013-01-01","2014-12-31"
"336134","11431000","1820","2013-01-01","2014-12-31"
"336135","11432000","1820","2013-01-01","2014-12-31"
"336136","11432500","1820","2013-01-01","2014-12-31"
"336137","11433000","1820","2013-01-01","2014-12-31"
"336138","11433500","1820","2013-01-01","2014-12-31"
"336139","11434000","1822","2013-01-01","2014-12-31"
"336140","11434010","1822","2013-01-01","2014-12-31"
"336141","11434020","1822","2013-01-01","2014-12-31"
"336142","11446000","1820","2013-01-01","2014-12-31"
"336143","11459990","5802","2013-01-01","2014-12-31"
"336144","11460000","5802","2013-01-01","2014-12-31"
"336145","11460100","5802","2013-01-01","2014-12-31"
"336146","11460150","5802","2013-01-01","2014-12-31"
"336147","11460160","5802","2013-01-01","2014-12-31"
"336148","11460170","5802","2013-01-01","2014-12-31"
"336149","11460190","5802","2013-01-01","2014-12-31"
"336150","11460200","5802","2013-01-01","2014-12-31"
"336151","11460250","5802","2013-01-01","2014-12-31"
